name,order,weight
2. northeast elementary,"3",0.539
1. dewitt middle school,"2",0.847
3. cayuga heights elementary,"4",0.416
4. belle sherman,"5",0.398
5. caroline elementary,"6",0.415
6. south hill elementary,"7",0.457
7. bjm elementary,"8",0.401
8. fall creek elementary,"9",0.451
9. boynton middle school,"10",0.800
10. maint garage,"11",0.000
11. bus garage,"12",0.000
12. enfield elementary,"13",0.457
14. tompkins recycling,"15",0.000
13. lehman alternative,"14",0.134
tst boces tompkins,"1",0.000
